date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:07	75349/75349	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://demo.agnidesigns.com/fortune/demo3/	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/index.html	(from )
21:02:07	130/130	---M-Z	200	added ('OK')	text/plain	etag:%22d2-589ad4d023228-gzip%22	http://demo.agnidesigns.com/robots.txt		(from )
21:02:07	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2009%20Jun%202019%2017:02:04%20GMT	http://demo.agnidesigns.com/fortune/demo3/xmlrpc.php	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/xmlrpc.php	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:08	1099/1099	---M-Z	200	added ('OK')	text/css	etag:%2244b-53584b0b28d00-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.2	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/plugins/contact-form-7/includes/css/stylesc1f9.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:08	41676/41676	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2002%20Feb%202017%2003:13:59%20GMT	http://demo.agnidesigns.com/fortune/demo3/feed/	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/feed/index.html	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:09	327/327	---M-Z	200	added ('OK')	text/css	etag:%22147-5479e9e8d0480-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun-child/style.css?ver=4.8.9	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun-child/style1f93.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:09	8367/8367	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2022%20Dec%202016%2006:29:23%20GMT	http://demo.agnidesigns.com/fortune/demo3/comments/feed/	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/comments/feed/index.html	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:09	51269/51269	---M-Z	200	added ('OK')	text/css	etag:%22c845-5377e93e1a980-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/ionicons.min.css?ver=2.0.1	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/ionicons.min7406.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:09	28986/28986	---M-Z	200	added ('OK')	text/css	etag:%22713a-5464dae678800-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.0.1	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min972f.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:10	8165/8165	---M-Z	200	added ('OK')	text/css	etag:%221fe5-51e239e6a2b80-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/Pe-icon-7-stroke.min.css?ver=1.2.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/Pe-icon-7-stroke.min7359.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:10	7929/7929	---M-Z	200	added ('OK')	text/css	etag:%221ef9-51e239f9b5880-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/Pe-icon-7-filled.min.css?ver=1.2.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/Pe-icon-7-filled.min7359.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:10	7317/7317	---M-Z	200	added ('OK')	text/css	etag:%221c95-54220bc97b980-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-arrows.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-arrows.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:11	6366/6366	---M-Z	200	added ('OK')	text/css	etag:%2218de-54220cb3220c0-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-basic.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-basic.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:11	8535/8535	---M-Z	200	added ('OK')	text/css	etag:%222157-5422125422880-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-elaboration.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-elaboration.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:12	4580/4580	---M-Z	200	added ('OK')	text/css	etag:%2211e4-542216caa3000-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-ecommerce.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-ecommerce.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:12	5864/5864	---M-Z	200	added ('OK')	text/css	etag:%2216e8-542223cfba7c0-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-software.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-software.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:12	1981/1981	---M-Z	200	added ('OK')	text/css	etag:%227bd-54222676be9c0-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-music.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-music.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
21:02:13	4780/4780	---M-Z	200	added ('OK')	text/css	etag:%2212ac-5422280fdef00-gzip%22	http://demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-weather.min.css?ver=1.0	C:/Users/Hp%20ProBook/Desktop/New/Back%20End/Demo%203/Demo%203/demo.agnidesigns.com/fortune/demo3/wp-content/themes/fortun/css/linea-weather.min5152.css	(from http://demo.agnidesigns.com/fortune/demo3/)
